baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G48110	4631.87544810163	-1.54655256533895	0.316347663370631	-4.88877505482635	1.01465355472304e-06	0.00063909711016052
AT5G51470	818.308634749451	-1.03879788492537	0.21589843707875	-4.81151183390208	1.49792863483864e-06	0.000896353527977511
AT5G56400	108.559403731355	-1.24281978061036	0.292900058100867	-4.2431530695783	2.20400991499367e-05	0.00681225496495413
AT5G65165	395.090354453053	-1.08632663711405	0.189557443152245	-5.7308571958399	9.99243667251724e-09	2.85683764467268e-05
AT5G66650	8207.00146946438	-1.05170666453395	0.29139735331624	-3.60918399760682	0.000307161692777016	0.0346648136703745
AT5G66660	211.999209844348	-1.18388938549082	0.236383754190435	-5.00833650580342	5.49024841733394e-07	0.00041732716672712
AT3G02480	305.431738512647	-1.33421657922329	0.208506278208889	-6.39892760392865	1.56472005315849e-10	2.01309058439106e-06
AT3G07255	193.518038917375	-1.05488314314962	0.279053657570527	-3.7802161503044	0.000156692266996612	0.0237167571887637
AT3G10950	37.0231681745394	-1.53767162274655	0.420824719091835	-3.65394795739408	0.000258238632744366	0.0312298033631586
AT3G13280	602.220951321247	-1.2767465187318	0.246226200418714	-5.18525858158336	2.15715355361616e-07	0.000231273825367072
AT3G14540	612.287207758151	-1.57280076733254	0.276573886769503	-5.68672908966026	1.29495634688161e-08	3.33205217616107e-05
AT3G15670	95.1377989687605	-1.52035890280985	0.406845231095982	-3.73694659935973	0.000186268463263086	0.0265968593108176
AT3G19560	78.8788014055608	-1.07980161932151	0.275497347723595	-3.91946284871267	8.87465393569825e-05	0.0165774636985009
AT3G19610	71.2450500817075	-1.41341672455867	0.392139226593244	-3.60437474424045	0.000312905306787835	0.0347041657282663
AT3G20840	879.910650662856	-1.06516453089794	0.214502923929627	-4.96573431906873	6.84415995347876e-07	0.000489186332674895
AT3G24310	1236.55322964594	-1.36943789277555	0.300330011211687	-4.55977705075337	5.12079575790633e-06	0.00244005917864237
AT3G28740	4752.48308057325	-1.64463857218077	0.444473059897779	-3.70019855097406	0.000215430847827569	0.0287475136762241
AT3G46613	64.5796909217456	-2.0777468187615	0.406027179906446	-5.11726042389636	3.10005452116941e-07	0.000295435195867444
AT3G07675	103.283251112139	1.09711098818185	0.292678727733599	3.74851632258173	0.000177883762556659	0.025859475109296
